C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0005018278,0007925725                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0005018475,0007926134                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0005019098,0007926744                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0005019430,0007927067                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0005019489,0007927100                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0005019507,0007927226                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0005019654,0007928287                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0005019869,0007928678                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0005020455,0007929305                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0005020778,0007929629                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0005020817,0007929646                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0005020828,0007929747                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/13/2016,11:00:00,REGULAR,0005020991,0007930730                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/13/2016,15:00:00,REGULAR,0005021091,0007931103                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/13/2016,19:00:00,REGULAR,0005021239,0007931859                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/13/2016,23:00:00,REGULAR,0005021572,0007932245                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/14/2016,03:00:00,REGULAR,0005021623,0007932266                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/14/2016,07:00:00,REGULAR,0005021637,0007932371                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/14/2016,11:00:00,REGULAR,0005021781,0007933373                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/14/2016,15:00:00,REGULAR,0005021998,0007933793                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/14/2016,19:00:00,REGULAR,0005022576,0007934530                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/14/2016,23:00:00,REGULAR,0005022898,0007934837                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/15/2016,03:00:00,REGULAR,0005022947,0007934865                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/15/2016,07:00:00,REGULAR,0005022958,0007934964                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/15/2016,11:00:00,REGULAR,0005023110,0007935865                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/15/2016,15:00:00,REGULAR,0005023337,0007936299                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/15/2016,19:00:00,REGULAR,0005023953,0007936976                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/15/2016,23:00:00,REGULAR,0005024290,0007937274                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0004744049,0006543630                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0004744063,0006543683                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/09/2016,11:00:00,REGULAR,0004744144,0006544005                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/09/2016,15:00:00,REGULAR,0004744358,0006544303                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/09/2016,19:00:00,REGULAR,0004744709,0006544627                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0004744927,0006544838                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0004745044,0006544881                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0004745049,0006544903                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0004745107,0006545118                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0004745262,0006545399                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0004745517,0006545678                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0004745701,0006545818                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0004745740,0006545843                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0004745757,0006546014                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0004745918,0006547039                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0004746106,0006547304                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0004746743,0006547751                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0004747035,0006548011                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0004747094,0006548032                                             
